"lambda.input","lambda.est","kappa","kappa.z"
0.25,0.134475269594066,0.131025123417357,1.0158
0.25,0.336319106176712,0.100456439756486,1.1542
0.25,1e-06,0.119183440067667,1.2061
0.25,1e-06,0.0548774521174527,-0.0016
0.25,0.307530693082518,0.121774478791972,0.2837
0.25,0.711696832678796,0.128676449209545,1.9459
0.25,0.139461766745246,0.0597349776851685,0.2862
0.25,0.0313466469976186,0.0386623628969915,-0.5494
0.25,0.144948170495866,0.00708033381539095,-1.1208
0.25,1e-06,0.0329468160368662,-1.064
0.25,0.0269043501992605,0.0128627083102057,-2.0704
0.25,0.478037572791628,0.26260470831871,1.7592
0.25,0.0392105501698484,0.232234081753157,1.7588
0.25,1e-06,0.126056775316406,0.7774
