lambda.input,lambda.est,kappa,kappa.z,CI.lower,CI.upper
0.25,0.307261168,0.023257022,0.048602285,0.204455907,0.423263709
0.25,0.24680863,0.032588835,-0.130315599,0.163277655,0.346836674
0.25,0.190537052,0.035045841,0.584445094,0.111935608,0.292901875
0.25,0.254365908,0.031311955,1.032548196,0.166092226,0.354319765
0.25,0.268260785,0.027246913,1.923905806,0.187377728,0.363465968
0.25,0.287229361,0.012465152,0.886553966,0.204614926,0.381475848
0.25,0.3170976,0.036153401,1.476602536,0.205582354,0.436805526
0.25,0.209002949,0.013265405,0.389449569,0.120493694,0.319600396
0.25,0.282717893,0.033397839,1.239872275,0.190366616,0.387950052
0.3,0.418661471,0.042362063,1.969522085,0.304561969,0.535987911
0.3,0.279932207,0.02739975,1.158972134,0.194030253,0.380881372
0.3,0.216667921,0.026483251,0.860501071,0.136963549,0.314044674
0.3,0.209055693,0.034422488,0.986961426,0.12676313,0.314517776
0.3,0.437601077,0.027393706,1.114607596,0.333953029,0.540762721
0.3,0.349102241,0.040585169,1.635485448,0.253026157,0.45254665
0.3,0.198679147,0.001413775,-1.216578329,0.124830317,0.291430282
0.3,0.315386312,0.016105762,-0.060588269,0.208480053,0.433432319
0.3,0.30403083,0.028755711,1.287720295,0.201439361,0.414680245
0.3,0.290610619,0.047313131,0.707174156,0.191838507,0.396702581
0.3,0.211777384,0.013955805,-0.762272906,0.122768173,0.321606191
0.3,0.262496725,0.013825077,-0.63506496,0.15895678,0.380738321
0.3,0.301092091,0.060563209,4.056079269,0.209574093,0.405619893
0.3,0.260022587,0.031169533,0.578074587,0.171459179,0.36432585
0.3,0.281169066,0.027414164,0.856655952,0.192682844,0.38140943
0.3,0.254021155,0.046894901,1.996421889,0.176418228,0.347201505
0.3,0.318394894,0.056366096,2.873413514,0.193027798,0.456216475
0.3,0.356568432,0.039879039,2.291221676,0.251288961,0.468094141
0.3,0.320589349,0.05395524,3.315872829,0.214964475,0.437636838
0.3,0.289058177,0.024781741,0.556198585,0.185902333,0.407803692
0.3,0.28082816,0.022742442,0.731798184,0.194071231,0.382297276
0.3,0.281286039,0.024144827,0.654689612,0.187061127,0.387873553
0.3,0.295447855,0.031955166,1.302362424,0.199505219,0.4041129
0.3,0.350588586,0.062362073,2.741465614,0.260117369,0.449596981
0.3,0.293709889,0.041734732,1.555080776,0.196542173,0.40440277
0.3,0.275450684,0.025227253,0.5609825,0.184601954,0.379533053
0.3,0.184939137,0.029976968,1.042403661,0.094387333,0.305390093
0.3,0.285164255,0.05217708,1.887031419,0.185719733,0.396946255
0.3,0.258171849,0.018829106,0.21573283,0.171406858,0.361460583
0.3,0.344459798,0.037069313,-0.62020533,0.244445501,0.453530375
0.3,0.300881102,0.030139863,0.903349,0.19826125,0.414934341
0.3,0.251594567,0.024244029,0.443341031,0.16079839,0.361148675
0.3,0.334424639,0.017199146,0.363800743,0.250082964,0.428709455
0.3,0.262398189,0.036565335,1.370237955,0.1600979,0.375923243
0.3,0.356142001,0.035131721,0.874561643,0.262095003,0.453544255
0.3,0.27019638,0.033487499,1.676905923,0.187440508,0.366780204
0.3,0.338799873,0.067500156,2.816024672,0.244798955,0.440789839
0.3,0.363815673,0.002839653,-1.613099629,0.265029117,0.466758226
0.3,0.28195363,0.014250518,-0.580507118,0.194583249,0.381984537
0.3,0.250533915,0.035665178,1.258613285,0.152545446,0.363081761
0.3,0.296739672,0.041279382,2.379795707,0.205174724,0.400218778
0.3,0.292036414,0.045242503,1.510772625,0.196868079,0.400583858
0.3,0.300631302,0.032625482,1.627989616,0.202353519,0.40953854
0.3,0.298046094,0.053084797,3.073693848,0.183029057,0.428880902
0.3,0.248773352,0.059707436,2.923187602,0.158691088,0.357360617
0.3,0.228304117,0.027265291,0.999598309,0.151320197,0.322954071
