"","lambda_input","K","mu","sd"
"278",0.25,0.923254480246795,2.98538117512494e-18,0.0443218821086728
"279",0.25,0.914727711907045,4.10787686012286e-19,0.0432228380210339
"280",0.25,1.02824741715819,6.36277597450274e-18,0.0407254801678427
"281",0.25,1.06465202899651,-4.32505187263413e-18,0.0431150166215013
"282",0.25,1.03943100291514,-5.0412622752509e-18,0.0438997101460474
"283",0.25,0.940897395242885,-4.69074310101812e-18,0.0432709125406609
"284",0.25,1.00455639645462,5.76413459199782e-18,0.0433528165988546
"285",0.25,0.986824379338204,3.69484580734977e-18,0.0432012335395944
"286",0.25,0.93136189877664,-6.35036185962778e-18,0.0418943424999721
"287",0.25,1.01909051832221,-3.02138685164682e-18,0.0449940555221129
"288",0.25,0.957950989835973,-9.5128576240236e-19,0.0418123178729661
"289",0.25,0.911457014200631,6.92371507349243e-19,0.0439477862625903
"290",0.25,1.10219738937819,-3.78438057800634e-18,0.0435073991989541
"291",0.25,1.01974570489925,-6.30748505183777e-18,0.042523821379108
"292",0.25,0.927146961332905,-2.80217303083152e-18,0.0425689477501487
"293",0.25,1.00814344051154,-4.12332250591604e-18,0.042968262818502
"294",0.25,1.00640298167441,1.25749664316426e-18,0.0426656450132163
"295",0.25,0.95693839257861,2.47999727307976e-18,0.0451831006579746
